image,method,edge_blending,background_smoothness,object_preservation,composite_score,stylization_strength,latent_mean,latent_std,latent_skewness,latent_min,latent_max,frac_outside_1,frac_outside_3
cat2.png,filter_clahe,0.0147,0.3994,0.8757,0.3023,1.4812,,,,,,,
cat3.png,latent_alpha_0.0,0.7704,0.8367,0.4838,0.7330,0.2752,0.3830,3.3268,0.0966,-12.2347,12.3560,0.7448,0.3608
cat3.png,latent_alpha_0.5,0.7303,0.8181,0.4925,0.7091,0.2997,0.3623,3.3519,0.0889,-12.7739,12.3558,0.7454,0.3617
cat3.png,latent_alpha_1.0,0.6191,0.7708,0.4874,0.6383,0.3443,0.3417,3.5775,0.0035,-15.6932,16.0251,0.7552,0.3846
cat3.png,latent_alpha_1.5,0.4295,0.6684,0.4531,0.5059,0.4007,0.3211,3.9697,-0.1301,-23.1969,22.1119,0.7670,0.4091
cat3.png,latent_alpha_2.0,0.2987,0.6535,0.4285,0.4311,0.3728,0.3005,4.4849,-0.2627,-31.6415,28.1976,0.7761,0.4293
cat3.png,pixel_alpha_1.5,0.1293,0.7487,0.5309,0.3954,0.2520,,,,,,,
cat3.png,pixel_alpha_2.0,0.1177,0.7323,0.5206,0.3827,0.2637,,,,,,,
cat3.png,filter_unsharp,0.0224,0.5911,0.9630,0.3811,1.4612,,,,,,,
cat3.png,filter_bilateral,0.0824,0.8022,0.9208,0.4661,0.5903,,,,,,,
cat3.png,filter_clahe,0.0335,0.5926,0.9038,0.3753,1.5282,,,,,,,
dog1.png,latent_alpha_0.0,0.8373,0.9055,0.7514,0.8406,0.3678,3.0833,3.5465,-0.5885,-28.6615,30.5619,0.8913,0.6434
dog1.png,latent_alpha_0.5,0.8190,0.9031,0.7640,0.8332,0.4761,3.1281,3.4646,-0.5910,-36.2326,34.4240,0.8920,0.6454
dog1.png,latent_alpha_1.0,0.7545,0.9007,0.7513,0.7977,0.7251,3.1728,3.5539,-0.7150,-48.4271,44.0971,0.9010,0.6608
dog1.png,latent_alpha_1.5,0.6477,0.8972,0.6830,0.7296,1.3514,3.2176,3.8024,-0.8647,-60.6216,53.7702,0.9091,0.6792
dog1.png,latent_alpha_2.0,0.5526,0.8950,0.6242,0.6696,1.9564,3.2624,4.1817,-0.9524,-72.8161,63.4433,0.9144,0.6933
dog1.png,pixel_alpha_1.5,0.4938,0.9191,0.6827,0.6592,0.7279,,,,,,,
dog1.png,pixel_alpha_2.0,0.4817,0.9172,0.6806,0.6521,0.6312,,,,,,,
dog1.png,filter_unsharp,0.1376,0.8553,0.9812,0.5216,1.4822,,,,,,,
dog1.png,filter_bilateral,0.4018,0.9157,0.9330,0.6622,0.3782,,,,,,,
dog1.png,filter_clahe,0.0815,0.8128,0.8922,0.4630,1.7430,,,,,,,
dog2.png,latent_alpha_0.0,0.8177,0.7582,0.3329,0.7029,0.3039,0.0120,3.1180,-0.1181,-10.6431,15.3791,0.7508,0.3216
dog2.png,latent_alpha_0.5,0.7684,0.7535,0.3371,0.6777,0.3550,0.0461,3.1204,-0.1021,-12.6255,16.5645,0.7565,0.3273
dog2.png,latent_alpha_1.0,0.6920,0.7684,0.3279,0.6421,0.4626,0.0796,3.2473,0.0362,-19.3866,25.4102,0.7575,0.3327
dog2.png,latent_alpha_1.5,0.6400,0.7728,0.3111,0.6141,0.6063,0.1134,3.4852,0.2517,-26.1484,34.2553,0.7584,0.3388
dog2.png,latent_alpha_2.0,0.5948,0.7757,0.2944,0.5890,0.7186,0.1471,3.8134,0.4757,-32.9105,43.1024,0.7603,0.3433
dog2.png,pixel_alpha_1.5,0.3909,0.8763,0.2830,0.5149,0.3626,,,,,,,
dog2.png,pixel_alpha_2.0,0.3967,0.8765,0.2843,0.5181,0.3251,,,,,,,
dog2.png,filter_unsharp,0.0316,0.4696,0.9582,0.3483,1.4981,,,,,,,
dog2.png,filter_bilateral,0.1648,0.7545,0.8955,0.4879,0.5098,,,,,,,
dog2.png,filter_clahe,0.0198,0.3604,0.7980,0.2776,1.6792,,,,,,,
horse1.png,latent_alpha_0.0,0.7338,0.4528,0.1926,0.5413,0.2906,-0.9610,2.8455,-0.3207,-16.5327,10.4148,0.7035,0.2906
horse1.png,latent_alpha_0.5,0.7049,0.4579,0.2038,0.5306,0.3563,-0.9690,2.8377,-0.3143,-16.5325,11.9911,0.7023,0.2901
horse1.png,latent_alpha_1.0,0.6157,0.4536,0.2195,0.4878,0.5029,-0.9770,2.8956,-0.2436,-16.5326,17.3520,0.7038,0.2975
horse1.png,latent_alpha_1.5,0.4249,0.4815,0.2176,0.4004,0.7985,-0.9851,3.0156,-0.1389,-16.5325,25.8034,0.7074,0.3046
horse1.png,latent_alpha_2.0,0.3141,0.5401,0.2060,0.3603,0.9574,-0.9931,3.1904,-0.0333,-21.0127,34.2546,0.7095,0.3104
horse1.png,pixel_alpha_1.5,0.1146,0.8601,0.3825,0.3918,0.6820,,,,,,,
horse1.png,pixel_alpha_2.0,0.1052,0.8566,0.3467,0.3789,0.6845,,,,,,,
horse1.png,filter_unsharp,0.0038,0.0349,0.9416,0.2007,1.4441,,,,,,,
horse1.png,filter_bilateral,0.0343,0.1725,0.9012,0.2491,0.6352,,,,,,,
horse1.png,filter_clahe,0.0053,0.0410,0.9054,0.1960,1.3541,,,,,,,
horse2.png,latent_alpha_0.0,0.7994,0.8367,0.5038,0.7515,0.2379,0.6001,3.1477,0.0004,-19.4362,15.3978,0.7729,0.3489
horse2.png,latent_alpha_0.5,0.7784,0.8313,0.5057,0.7398,0.2612,0.5904,3.1535,-0.0207,-19.4361,15.3981,0.7733,0.3495
horse2.png,latent_alpha_1.0,0.7264,0.8269,0.4984,0.7110,0.3189,0.5809,3.2507,-0.1011,-19.4364,15.3978,0.7823,0.3617
horse2.png,latent_alpha_1.5,0.6490,0.8211,0.4751,0.6659,0.4509,0.5713,3.4315,-0.2438,-22.9493,18.0957,0.7889,0.3752
horse2.png,latent_alpha_2.0,0.5992,0.8176,0.4504,0.6349,0.5957,0.5618,3.6837,-0.4237,-31.3778,24.5423,0.7939,0.3856
horse2.png,pixel_alpha_1.5,0.2840,0.8828,0.5292,0.5127,0.3039,,,,,,,
horse2.png,pixel_alpha_2.0,0.2757,0.8816,0.5112,0.5046,0.3567,,,,,,,
horse2.png,filter_unsharp,0.0175,0.4608,0.9577,0.3386,1.4877,,,,,,,
horse2.png,filter_bilateral,0.1029,0.7455,0.8911,0.4533,0.6582,,,,,,,
horse2.png,filter_clahe,0.0223,0.3890,0.8565,0.2992,1.5078,,,,,,,
horse3.png,latent_alpha_0.0,0.8235,0.7002,0.3374,0.6893,0.3040,-0.1164,2.8233,-0.0863,-15.0599,12.9522,0.7218,0.2924
horse3.png,latent_alpha_0.5,0.8184,0.6939,0.3398,0.6853,0.3294,-0.1281,2.7764,-0.1102,-11.2264,13.5228,0.7209,0.2887
horse3.png,latent_alpha_1.0,0.7343,0.6948,0.3431,0.6442,0.4842,-0.1397,2.8504,-0.0828,-13.7306,17.3007,0.7252,0.2984
horse3.png,latent_alpha_1.5,0.5947,0.7126,0.3375,0.5786,0.8023,-0.1513,3.0367,-0.0268,-21.1004,23.6615,0.7297,0.3104
horse3.png,latent_alpha_2.0,0.5076,0.7248,0.3335,0.5379,0.8174,-0.1630,3.3163,0.0276,-28.4710,32.0959,0.7328,0.3175
horse3.png,pixel_alpha_1.5,0.2617,0.8896,0.4892,0.4956,0.4404,,,,,,,
horse3.png,pixel_alpha_2.0,0.2595,0.8889,0.4555,0.4875,0.3546,,,,,,,
horse3.png,filter_unsharp,0.0416,0.4702,0.9522,0.3523,1.4814,,,,,,,
horse3.png,filter_bilateral,0.1901,0.7668,0.8663,0.4983,0.5479,,,,,,,
horse3.png,filter_clahe,0.0240,0.3542,0.8172,0.2817,1.7389,,,,,,,
