image,method,lpips
car1.png,dod_fade,0.168892040848732
car1.png,dod_sam,0.16896897554397583
car1.png,lol_fade,0.6223289966583252
car1.png,lol_sam,0.6231781840324402
car2.png,dod_fade,0.142478346824646
car2.png,dod_sam,0.14250339567661285
car2.png,lol_fade,0.6134927868843079
car2.png,lol_sam,0.6113921403884888
car3.png,dod_fade,0.21114790439605713
car3.png,dod_sam,0.21125543117523193
car3.png,lol_fade,0.5429567098617554
car3.png,lol_sam,0.5478736162185669
cat1.png,dod_fade,0.3582441806793213
cat1.png,dod_sam,0.36238935589790344
cat1.png,lol_fade,0.710350751876831
cat1.png,lol_sam,0.7169674634933472
cat2.png,dod_fade,0.23397283256053925
cat2.png,dod_sam,0.23427599668502808
cat2.png,lol_fade,0.41451138257980347
cat2.png,lol_sam,0.5199087262153625
cat3.png,dod_fade,0.1768243908882141
cat3.png,dod_sam,0.17684924602508545
cat3.png,lol_fade,0.44583991169929504
cat3.png,lol_sam,0.5103208422660828
dog1.png,dod_fade,0.12672945857048035
dog1.png,dod_sam,0.12675227224826813
dog1.png,lol_fade,0.27494972944259644
dog1.png,lol_sam,0.29013967514038086
dog2.png,dod_fade,0.4458698332309723
dog2.png,dod_sam,0.4456333518028259
dog2.png,lol_fade,0.6829010248184204
dog2.png,lol_sam,0.7089268565177917
horse1.png,dod_fade,0.3272295594215393
horse1.png,dod_sam,0.3271975517272949
horse1.png,lol_fade,0.7119654417037964
horse1.png,lol_sam,0.7335878014564514
horse2.png,dod_fade,0.18855580687522888
horse2.png,dod_sam,0.1885128617286682
horse2.png,lol_fade,0.5704656839370728
horse2.png,lol_sam,0.6082490086555481
horse3.png,dod_fade,0.26233866810798645
horse3.png,dod_sam,0.26240217685699463
horse3.png,lol_fade,0.6056528687477112
horse3.png,lol_sam,0.6507740020751953
